scenario,controller,rmse_velocity,iae_velocity,max_abs_error,overshoot_pct,control_effort,settling_time,mean_compute_us,final_position
A,pid,0.025477,0.431114,0.105335,7.0224,0.075041,3.100000,4.472,33.1001
A,ipid,0.025477,0.431114,0.105335,7.0224,0.075041,3.100000,5.338,33.1001
A,mpc,0.021686,0.458704,0.098400,4.4269,0.110604,14.550000,4113.154,33.0944
A,impc,0.018198,0.364553,0.072118,4.4582,0.076379,2.250000,4140.112,33.0596
B,pid,0.023165,0.768634,0.135813,6.7434,0.266555,40.050000,2.405,80.0595
B,ipid,0.016638,0.615954,0.096397,6.4133,0.331572,39.150000,23.995,80.0180
B,mpc,0.035137,1.628698,0.166524,6.6621,0.458901,nan,3742.811,79.3793
B,impc,0.018105,0.757972,0.091016,3.1848,0.344430,38.850000,4380.111,80.0811
C,pid,0.027247,0.590254,0.141478,8.6758,0.102269,2.750000,2.609,50.0550
C,ipid,0.027247,0.590254,0.141478,8.6758,0.102269,2.750000,3.660,50.0550
C,mpc,0.072614,1.767858,0.276658,4.5947,0.290199,25.050000,4823.375,49.9855
C,impc,0.064722,1.511130,0.271994,4.9842,0.151370,23.300000,4441.974,49.9621
D,pid,0.060574,1.842681,0.267715,17.0523,1.640535,38.350000,2.521,80.2514
D,ipid,0.045721,1.457986,0.217532,14.5021,1.714478,37.900000,24.445,80.2945
D,mpc,0.070141,3.738551,0.168035,6.2105,1.909465,nan,3685.703,78.8733
D,impc,0.024349,0.987586,0.115680,6.6989,1.747262,49.350000,4317.853,80.1370
